tweets,sentiment
"['tanjung', 'balai', 'laksana', 'vaksinasi']",0.0
"['dukung', 'program', 'juta', 'vaksinasi', 'lumajang', 'gelar', 'vaksinasi', 'covid', 'massal']",1.0
"['sebut', 'lonjak', 'covid', 'kendali']",1.0
"['lampung', 'gelar', 'vaksinasi', 'covid', 'anggota', 'keluarga', 'rumah', 'sakit', 'jalan', 'pramuka', 'rajabasa', 'kota', 'bandar', 'lampung', 'lampung']",0.0
"['bupati', 'kobar', 'apresiasi', 'usaha', 'laksana', 'vaksinasi', 'gotong', 'royong', 'karyawan']",1.0
"['columbia', 'asia', 'indonesia', 'dukung', 'program', 'vaksinasi']",1.0
"['kam', 'laksana', 'vaksinasi', 'warga', 'usia', 'makamhaji', 'tempat', 'balai', 'makamhaji', 'brigadir', 'ruri', 'setiawan', 'kartasura', 'koramil', 'kartasura', 'laksana', 'aman', 'giat', 'vaksinasi', 'warga', 'usia']",0.0
"['kalbar', 'serius', 'vaksinasi', 'lansia']",0.0
"['salah', 'banget', 'vaksinasi', 'uji', 'menangisss']",0.0
"['silah', 'simak', 'jadwal', 'vaksinasi', 'tinggal', 'kebal', 'tubuh', 'faktor', 'utama', 'hadir', 'vaksin', 'usir', 'corona', 'silah', 'postingan', 'sebar', 'kabar']",1.0
"['vaksinasi', 'masyarakat', 'domisili', 'warga', 'asli', 'dki', 'jakarta', 'laksana', 'vaksinasi', 'dki', 'bareng', 'syarat']",1.0
"['reposted', 'mayor', 'kabar', 'gembira', 'sobat', 'sehat', 'mayor', 'vaksin', 'usia', 'provinsi', 'dki', 'jakarta', 'resmi', 'buka', 'selenggara', 'vaksinasi', 'covid', 'masyarakat', 'usia']",1.0
"['cepat', 'vaksinasi', 'tempat', 'interaksi', 'stasiun', 'bus', 'airport', 'labuh']",1.0
"['vaksinasi', 'massal', 'bogor', 'sukses', 'total', 'daftar', 'online', 'capai']",1.0
"['beneran', 'kuliah', 'tatap', 'muka', 'syarat', 'ngambil', 'mk', 'ampu', 'vaksinasi']",1.0
"['tinjau', 'vaksinasi', 'karyawan', 'tekstil', 'tracing', 'testing', 'kuat']",1.0
"['sukun', 'sukses', 'vaksinasi', 'covid', 'lansia', 'masyarakat', 'lengkap', 'klik', 'taut']",1.0
"['program', 'vaksinasi', 'gotong', 'royong', 'inisiasi', 'laku', 'usaha', 'kadin', 'tuju', 'cepat', 'beri', 'vaksin', 'kerja', 'ada', 'vaksin', 'program', 'sepenuh', 'biaya', 'usaha', 'beban', 'karyawan']",1.0
"['upaya', 'wujud', 'herd', 'immunity', 'salah', 'wujud', 'program', 'vaksinasi', 'cepat', 'laksana', 'program', 'vaksinasi', 'cepat', 'kebal', 'komunal', 'bentuk']",1.0
"['tingkat', 'positif', 'corona', 'tangan', 'strategi', 'hadap', 'pandemi', 'covid', 'salah', 'strategi', 'laksana', 'vaksinasi', 'juta', 'dosis', 'moga', 'program', 'sukses', 'pandemi']",0.0
"['vaksinasi', 'massal', 'huni', 'apartemen', 'gading', 'mediterania']",0.0
"['tinjau', 'vaksinasi', 'karyawan', 'tekstil', 'tracing', 'testing', 'kuat', 'jenderal', 'sigit', 'tinjau', 'laksana', 'vaksinasi']",1.0
"['covid', 'tinjau', 'vaksinasi', 'pabrik', 'sukuntex', 'pura']",1.0
"['tambah', 'tinggi', 'positivity', 'rate', 'spesimen', 'positivity', 'rate', 'tingkat', 'turun', 'vaksinasi', 'tracing', 'swab', 'test', 'tingkat', 'dekat', 'standar', 'who']",1.0
"['tinjau', 'laksana', 'vaksinasi', 'damping', 'tri', 'sehat', 'direktur', 'utama', 'kai']",1.0
"['serta', 'sebab', 'tenda', 'vaksinasi', 'roboh']",1.0
"['pemprov', 'kalbar', 'gencar', 'vaksinasi', 'covid', 'midji', 'ajak', 'masyarakat', 'daftar']",1.0
"['harap', 'keras', 'cepat', 'program', 'vaksinasi', 'cepat', 'cepat', 'target', 'vaksinasi', 'bogor', 'agustus', 'capai', 'kebal', 'komunal']",1.0
"['harap', 'keras', 'cepat', 'program', 'vaksinasi', 'vaksinasi', 'target', 'bogor', 'capai', 'kebal', 'komunal', 'agustus']",1.0
"['lanjut', 'butuh', 'cepat', 'vaksinasi', 'rangka', 'capai', 'kebal', 'komunal', 'herd', 'immunity', 'harap', 'sebar', 'covid', 'hambat']",1.0
"['serta', 'vaksinasi', 'permata', 'jonggol', 'serta', 'emc', 'sentul', 'serta', 'bina', 'husada', 'serta', 'cimandala', 'serta', 'citeureup', 'serta', 'karadenan']",1.0
"['sempat', 'bincang', 'konferensi', 'video', 'wakil', 'pkm', 'ada', 'vaksinasi', 'permata', 'jonggol', 'emc', 'sentul', 'bina', 'husada', 'pkm', 'cimandala', 'pkm', 'citeureup', 'pkm', 'karadenan']",1.0
"['sasar', 'vaksinasi', 'kalang', 'masyarakat', 'kaum', 'usia', 'lansia', 'didik', 'dagang', 'pasar', 'tokoh', 'agama', 'pegawai', 'layan', 'publik', 'difabel', 'laku', 'transportasi', 'masyarakat', 'rentan']",1.0
"['tinjau', 'vaksinasi', 'masyarakat', 'stadion', 'cibinong', 'bogor', 'jawa', 'barat', 'sasar', 'vaksinasi', 'bogor', 'sebar']",1.0
"['khawatir', 'vaksinasi', 'az', 'sakit', 'asma', 'asma', 'ringan', 'jam', 'vaksin', 'az', 'ga', 'gejala', 'aman', 'gel', 'lengan', 'kiri', 'suntik', 'moga', 'aman']",0.0
"['lauching', 'gerai', 'laksana', 'vaksinasi', 'covid']",1.0
"['upaya', 'cipta', 'herd', 'imunity', 'sumbar', 'vaksinasi', 'gratis', 'masyarakat']",1.0
"['cepat', 'vaksinasi', 'interaksi']",1.0
