tweets,label
Polres Tanjung Balai Laksanakan Vaksinasi https://t.co/05iuhYArRi,1
"Dukung Program Presiden Jokowi 1 Juta Vaksinasi 1 Hari, Polres Lumajang Gelar Vaksinasi Covid-19 Secara Massal https://t.co/Sa26UC6sCo",1
Panglima TNI Marsekal TNI Hadi Tjahjanto menyebut lonjakan kasus Covid-19 di Kabupaten Kudus sampai saat ini masih belum terkendali. #vaksinasi https://t.co/kkSshqtoYv,1
"Polda Lampung menggelar vaksinasi covid-19 untuk anggota dan keluarga di Rumah Sakit Bhayangkara, Jalan Pramuka No. 88, Rajabasa, Kota Bandar Lampung, Lampung.  #Vaksin #VaksinasiCovid19 #vaksinpolisi #vaccine #lampostco https://t.co/6eOvBosars",1
Bupati Kobar Apresiasi Perusahaan Laksanakan Vaksinasi Gotong Royong Bagi Karyawan https://t.co/6mfvfrHTaI,1
RS Columbia Asia Indonesia Mendukung Program Vaksinasi https://t.co/5idoQehr1A,1
PENGAMAN PELAKSANAAN VAKSINASI BAGI WARGA LANJUT USIA DESA MAKAMHAJI   Bertempat di Balai Desa Makamhaji Brigadir Ruri Agung Setiawan Bhabinkamtibmas Polsek Kartasura bersama Babinsa Koramil Kartasura melaksanakan pengamanan kegiatan vaksinasi bagi warga lanjut usia. (17/5/2021) https://t.co/smjrU28e6X,1
5 Kabupaten di Kalbar Disebut Tak Serius Vaksinasi Lansia https://t.co/3yA9FG2SLA,1
salah banget vaksinasi sebelum ujian. menangisss,0
"Silahkan Simak Jadwal Vaksinasi Per Kelurahan Berikut Ini 👆👆 Jangan Sampai Ketinggalan  *KEKEBALAN TUBUH ADALAH FAKTOR UTAMA, HADIRNYA VAKSIN MENGUSIR CORONA*  Seperti biasa silahkan share postingan ini untuk menyebarkan kabar baik ya",1
Vaksinasi tersebut diberikan untuk masyarakat yang berdomisili maupun warga asli DKI Jakarta.  Pelaksanaan vaksinasi di DKI ini juga dibarengi dengan sejumlah syarat.,1
Reposted from Puskesmas Kec. Kemayoran  ADA KABAR GEMBIRA ‼️‼️‼️  SOBAT SEHAT KEMAYORAN VAKSIN USIA 18+ TAHUN SUDAH DI MULAI 📢📢😁😁  Pemerintah Provinsi DKI Jakarta resmi membuka penyelenggaraan vaksinasi Covid-19 untuk masyarakat umum usia 18 tahun ke atas. https://t.co/jq6qMCVmAD,1
"@jokowi ingin percepatan vaksinasi ditempat yg interaksinya tinggi seperti baik itu stasiun kereta , terminal bus  , airport dan pelabuhan. https://t.co/6luZlf4DEi",1
@AzliMantra masalah awak tak faham Perlembagaan dan kejayaan tindakan2 negara dlm menangani 2 gelombang serangan Covid19 dan sedang menuju kejayaan by the time vaksinasi capai 80% populasi,
"Dr Najihatussalehah Ahmad berkata, kerajaan telah membuktikan kadar vaksinasi berjaya ditingkatkan ke kadar maksimum meskipun pada awalnya usaha berkenaan diragui pelbagai pihak termasuk bekas pimpinan negara.  Baca seterusnya di sini,  https://t.co/NG7qkgLyXX",
"Vaksinasi Massal di Kabupaten Bogor Sukses, Total Pendaftar Online Mencapai 16.857 Orang https://t.co/5NprUCmcYj",1
"Ini kalau misalnya beneran kuliahnya tatap muka langsung, boleh nggak ya saya minta supaya syarat ngambil MK yang saya ampu itu adalah sudah vaksinasi?",1
"Tinjau Vaksinasi 1.300 Karyawan Tekstil, Kapolri Minta Tracing dan Testing Diperkuat. https://t.co/ES0QYEX22u",1
Begini Cara Sukun Sukseskan Vaksinasi Covid-19 Bagi Lansia dan Masyarakat Kudus.  Selengkapnya klik tautan berikut ini.  #Kudus #Sukun #Vaksinasi #Covid19 #Lansia #Masyarakat #Umum   https://t.co/S341pcHGly,1
"Program Vaksinasi Gotong Royong yang diinisiasi pelaku usaha melalui KADIN bertujuan mempercepat pemberian vaksin kepada para pekerja. Pengadaan vaksin untuk program tersebut sepenuhnya dibiayai oleh perusahaan, tidak dibebankan ke karyawan. https://t.co/LhDWgHrNCd",1
"Pemerintah terus berupaya mewujudkan _herd immunity_. Salah satu yang dilakukan untuk mewujudkan hal tersebut adalah dengan adanya program vaksinasi. Semakin cepat terlaksananya program vaksinasi, maka semakin cepat juga kekebalan komunal terbentuk. https://t.co/Mn7KVOsH6Y",1
Peningkatan kasus positif corona harus segera ditangani. Ini beberapa strategi pemerintah dalam menghadapi pandemi covid-19.   Salah satu strategi dengan pelaksanaan vaksinasi 1 juta dosis per hari. Semoga program ini bisa sukses dan pandemi berakhir. https://t.co/PDuHLxlujO,1
"JOHOR BAHRU, 17Jun - Hebahan #InfoOnWheels (IOW) Pejabat @japenjohorbahru di Kampung Nesa, Skudai pada hari ini.  Hebahan Kempen Kesedaran Daftar Vaksinasi COVID-19 juga dibuat dalam pelbagai bahasa untuk penyampaian lebih menyeluruh.  @JKJAVMY @Hasni_Johor  #Jauharku https://t.co/IBvQDUnKN5",
Vaksinasi Massal untuk Penghuni Apartemen Gading Mediterania https://t.co/QzBDTJYuiy,1
"Tinjau Vaksinasi 1.300 Karyawan Tekstil, Kapolri Minta Tracing dan Testing Diperkuat  Panglima TNI Marsekal TNI Dr. (H.C) Hadi Tjahjanto, S.I.P., bersama Kapolri Jenderal Polisi Drs. Listyo Sigit Prabowo, https://t.co/vFPjoDN83e., meninjau langsung pelaksanaan vaksinasi. https://t.co/HHyKJR6aC1",1
"Masih Tinggi Kasus Covid, Panglima TNI dan Kapolri Tinjau Vaksinasi di Pabrik Sukuntex dan Pura Kudus. https://t.co/RzzbIp3tLq",0
"Masih Tinggi Kasus Covid, Panglima TNI dan Kapolri Tinjau Vaksinasi di Pabrik Sukuntex dan Pura Kudus. https://t.co/ClGtuzRWY4",0
"Pertambahan hari ini = 4.144 orang (tertinggi dalam 4 bulan terakhir) dengan positivity rate 33,2% dari 23.913 spesimen. Positivity rate kembali meningkat setelah 4 bulan menurun. Vaksinasi dan tracing serta swab test perlu ditingkatkan setidaknya mendekati standar WHO https://t.co/lFUPves9Vq",0
@jokowi meninjau pelaksanaan vaksinasi didampingi oleh Mentri kesehatan dan Direktur utama PT.KAI https://t.co/oRYka64PU5,1
"@AzwanHajiAli Takda satu pun pilihan hati.  Kalau ada pilihan semua stop berpolitik dan fokus isu negara, saya vote yang tu.  Elok time genting macam ni semua fokus kepada nak jaga rakyat dengan nak cepatkan proses vaksinasi. Yang pembangkang pun bantu sama. Jangan asyik nak hentam aje.",
Hujan angin disertai es sebabkan tenda vaksinasi di GBLA Bandung roboh #StayTunedElshinta  https://t.co/cvQbnpJ0Gw,0
"Tinjau Vaksinasi 1.300 Karyawan Tekstil, Kapolri Minta Tracing dan Testing Diperkuat https://t.co/3PD3UriYEq",1
Pemprov Kalbar Gencarkan Vaksinasi Covid-19: Midji Ajak Masyarakat Daftarkan Diri https://t.co/raLhMbn0rB,1
"Tinjau Vaksinasi 1.300 Karyawan Tekstil, Kapolri Minta Tracing dan Testing Diperkuat  Panglima TNI Marsekal TNI Dr. (H.C) Hadi Tjahjanto, S.I.P., bersama Kapolri Jenderal Polisi Drs. Listyo Sigit Prabowo, https://t.co/oBoz5M07tb., meninjau langsung pelaksanaan vaksinasi https://t.co/6PSQqRKPPN",1
