tweets,label,case_folding,cleansing,tokenizing,stopword,stemming
Polres Tanjung Balai Laksanakan Vaksinasi https://t.co/05iuhYArRi,1.0,polres tanjung balai laksanakan vaksinasi https://t.co/05iuhyarri,polres tanjung balai laksanakan vaksinasi,"['polres', 'tanjung', 'balai', 'laksanakan', 'vaksinasi']","['tanjung', 'balai', 'laksanakan', 'vaksinasi']","['tanjung', 'balai', 'laksana', 'vaksinasi']"
"Dukung Program Presiden Jokowi 1 Juta Vaksinasi 1 Hari, Polres Lumajang Gelar Vaksinasi Covid-19 Secara Massal https://t.co/Sa26UC6sCo",1.0,"dukung program presiden jokowi 1 juta vaksinasi 1 hari, polres lumajang gelar vaksinasi covid-19 secara massal https://t.co/sa26uc6sco",dukung program presiden jokowi juta vaksinasi hari polres lumajang gelar vaksinasi covid secara massal,"['dukung', 'program', 'presiden', 'jokowi', 'juta', 'vaksinasi', 'hari', 'polres', 'lumajang', 'gelar', 'vaksinasi', 'covid', 'secara', 'massal']","['dukung', 'program', 'juta', 'vaksinasi', 'lumajang', 'gelar', 'vaksinasi', 'covid', 'massal']","['dukung', 'program', 'juta', 'vaksinasi', 'lumajang', 'gelar', 'vaksinasi', 'covid', 'massal']"
Panglima TNI Marsekal TNI Hadi Tjahjanto menyebut lonjakan kasus Covid-19 di Kabupaten Kudus sampai saat ini masih belum terkendali. #vaksinasi https://t.co/kkSshqtoYv,1.0,panglima tni marsekal tni hadi tjahjanto menyebut lonjakan kasus covid-19 di kabupaten kudus sampai saat ini masih belum terkendali. #vaksinasi https://t.co/kksshqtoyv,panglima tni marsekal tni hadi tjahjanto menyebut lonjakan kasus covid di kabupaten kudus sampai saat ini masih belum terkendali,"['panglima', 'tni', 'marsekal', 'tni', 'hadi', 'tjahjanto', 'menyebut', 'lonjakan', 'kasus', 'covid', 'di', 'kabupaten', 'kudus', 'sampai', 'saat', 'ini', 'masih', 'belum', 'terkendali']","['menyebut', 'lonjakan', 'covid', 'terkendali']","['sebut', 'lonjak', 'covid', 'kendali']"
"Polda Lampung menggelar vaksinasi covid-19 untuk anggota dan keluarga di Rumah Sakit Bhayangkara, Jalan Pramuka No. 88, Rajabasa, Kota Bandar Lampung, Lampung.  #Vaksin #VaksinasiCovid19 #vaksinpolisi #vaccine #lampostco https://t.co/6eOvBosars",1.0,"polda lampung menggelar vaksinasi covid-19 untuk anggota dan keluarga di rumah sakit bhayangkara, jalan pramuka no. 88, rajabasa, kota bandar lampung, lampung.  #vaksin #vaksinasicovid19 #vaksinpolisi #vaccine #lampostco https://t.co/6eovbosars",polda lampung menggelar vaksinasi covid untuk anggota dan keluarga di rumah sakit bhayangkara jalan pramuka no rajabasa kota bandar lampung lampung,"['polda', 'lampung', 'menggelar', 'vaksinasi', 'covid', 'untuk', 'anggota', 'dan', 'keluarga', 'di', 'rumah', 'sakit', 'bhayangkara', 'jalan', 'pramuka', 'no', 'rajabasa', 'kota', 'bandar', 'lampung', 'lampung']","['lampung', 'menggelar', 'vaksinasi', 'covid', 'anggota', 'keluarga', 'rumah', 'sakit', 'jalan', 'pramuka', 'rajabasa', 'kota', 'bandar', 'lampung', 'lampung']","['lampung', 'gelar', 'vaksinasi', 'covid', 'anggota', 'keluarga', 'rumah', 'sakit', 'jalan', 'pramuka', 'rajabasa', 'kota', 'bandar', 'lampung', 'lampung']"
Bupati Kobar Apresiasi Perusahaan Laksanakan Vaksinasi Gotong Royong Bagi Karyawan https://t.co/6mfvfrHTaI,1.0,bupati kobar apresiasi perusahaan laksanakan vaksinasi gotong royong bagi karyawan https://t.co/6mfvfrhtai,bupati kobar apresiasi perusahaan laksanakan vaksinasi gotong royong bagi karyawan,"['bupati', 'kobar', 'apresiasi', 'perusahaan', 'laksanakan', 'vaksinasi', 'gotong', 'royong', 'bagi', 'karyawan']","['bupati', 'kobar', 'apresiasi', 'perusahaan', 'laksanakan', 'vaksinasi', 'gotong', 'royong', 'karyawan']","['bupati', 'kobar', 'apresiasi', 'usaha', 'laksana', 'vaksinasi', 'gotong', 'royong', 'karyawan']"
RS Columbia Asia Indonesia Mendukung Program Vaksinasi https://t.co/5idoQehr1A,1.0,rs columbia asia indonesia mendukung program vaksinasi https://t.co/5idoqehr1a,rs columbia asia indonesia mendukung program vaksinasi,"['rs', 'columbia', 'asia', 'indonesia', 'mendukung', 'program', 'vaksinasi']","['columbia', 'asia', 'indonesia', 'mendukung', 'program', 'vaksinasi']","['columbia', 'asia', 'indonesia', 'dukung', 'program', 'vaksinasi']"
PENGAMAN PELAKSANAAN VAKSINASI BAGI WARGA LANJUT USIA DESA MAKAMHAJI   Bertempat di Balai Desa Makamhaji Brigadir Ruri Agung Setiawan Bhabinkamtibmas Polsek Kartasura bersama Babinsa Koramil Kartasura melaksanakan pengamanan kegiatan vaksinasi bagi warga lanjut usia. (17/5/2021) https://t.co/smjrU28e6X,1.0,pengaman pelaksanaan vaksinasi bagi warga lanjut usia desa makamhaji   bertempat di balai desa makamhaji brigadir ruri agung setiawan bhabinkamtibmas polsek kartasura bersama babinsa koramil kartasura melaksanakan pengamanan kegiatan vaksinasi bagi warga lanjut usia. (17/5/2021) https://t.co/smjru28e6x,pengaman pelaksanaan vaksinasi bagi warga lanjut usia desa makamhaji bertempat di balai desa makamhaji brigadir ruri agung setiawan bhabinkamtibmas polsek kartasura bersama babinsa koramil kartasura melaksanakan pengamanan kegiatan vaksinasi bagi warga lanjut usia,"['pengaman', 'pelaksanaan', 'vaksinasi', 'bagi', 'warga', 'lanjut', 'usia', 'desa', 'makamhaji', 'bertempat', 'di', 'balai', 'desa', 'makamhaji', 'brigadir', 'ruri', 'agung', 'setiawan', 'bhabinkamtibmas', 'polsek', 'kartasura', 'bersama', 'babinsa', 'koramil', 'kartasura', 'melaksanakan', 'pengamanan', 'kegiatan', 'vaksinasi', 'bagi', 'warga', 'lanjut', 'usia']","['pengaman', 'pelaksanaan', 'vaksinasi', 'warga', 'usia', 'makamhaji', 'bertempat', 'balai', 'makamhaji', 'brigadir', 'ruri', 'setiawan', 'kartasura', 'koramil', 'kartasura', 'melaksanakan', 'pengamanan', 'kegiatan', 'vaksinasi', 'warga', 'usia']","['kam', 'laksana', 'vaksinasi', 'warga', 'usia', 'makamhaji', 'tempat', 'balai', 'makamhaji', 'brigadir', 'ruri', 'setiawan', 'kartasura', 'koramil', 'kartasura', 'laksana', 'aman', 'giat', 'vaksinasi', 'warga', 'usia']"
5 Kabupaten di Kalbar Disebut Tak Serius Vaksinasi Lansia https://t.co/3yA9FG2SLA,1.0,5 kabupaten di kalbar disebut tak serius vaksinasi lansia https://t.co/3ya9fg2sla,kabupaten di kalbar disebut tak serius vaksinasi lansia,"['kabupaten', 'di', 'kalbar', 'disebut', 'tak', 'serius', 'vaksinasi', 'lansia']","['kalbar', 'serius', 'vaksinasi', 'lansia']","['kalbar', 'serius', 'vaksinasi', 'lansia']"
salah banget vaksinasi sebelum ujian. menangisss,0.0,salah banget vaksinasi sebelum ujian. menangisss,salah banget vaksinasi sebelum ujian menangisss,"['salah', 'banget', 'vaksinasi', 'sebelum', 'ujian', 'menangisss']","['salah', 'banget', 'vaksinasi', 'ujian', 'menangisss']","['salah', 'banget', 'vaksinasi', 'uji', 'menangisss']"
"Silahkan Simak Jadwal Vaksinasi Per Kelurahan Berikut Ini 👆👆 Jangan Sampai Ketinggalan  *KEKEBALAN TUBUH ADALAH FAKTOR UTAMA, HADIRNYA VAKSIN MENGUSIR CORONA*  Seperti biasa silahkan share postingan ini untuk menyebarkan kabar baik ya",1.0,"silahkan simak jadwal vaksinasi per kelurahan berikut ini 👆👆 jangan sampai ketinggalan  *kekebalan tubuh adalah faktor utama, hadirnya vaksin mengusir corona*  seperti biasa silahkan share postingan ini untuk menyebarkan kabar baik ya",silahkan simak jadwal vaksinasi per kelurahan berikut ini jangan sampai ketinggalan kekebalan tubuh adalah faktor utama hadirnya vaksin mengusir corona seperti biasa silahkan share postingan ini untuk menyebarkan kabar baik ya,"['silahkan', 'simak', 'jadwal', 'vaksinasi', 'per', 'kelurahan', 'berikut', 'ini', 'jangan', 'sampai', 'ketinggalan', 'kekebalan', 'tubuh', 'adalah', 'faktor', 'utama', 'hadirnya', 'vaksin', 'mengusir', 'corona', 'seperti', 'biasa', 'silahkan', 'share', 'postingan', 'ini', 'untuk', 'menyebarkan', 'kabar', 'baik', 'ya']","['silahkan', 'simak', 'jadwal', 'vaksinasi', 'ketinggalan', 'kekebalan', 'tubuh', 'faktor', 'utama', 'hadirnya', 'vaksin', 'mengusir', 'corona', 'silahkan', 'postingan', 'menyebarkan', 'kabar']","['silah', 'simak', 'jadwal', 'vaksinasi', 'tinggal', 'kebal', 'tubuh', 'faktor', 'utama', 'hadir', 'vaksin', 'usir', 'corona', 'silah', 'postingan', 'sebar', 'kabar']"
