,tweets,label,sentiment
0,"['tanjung', 'balai', 'laksana', 'vaksinasi']",1.0,0.0
1,"['dukung', 'program', 'juta', 'vaksinasi', 'lumajang', 'gelar', 'vaksinasi', 'covid', 'massal']",1.0,1.0
2,"['sebut', 'lonjak', 'covid', 'kendali']",1.0,1.0
3,"['lampung', 'gelar', 'vaksinasi', 'covid', 'anggota', 'keluarga', 'rumah', 'sakit', 'jalan', 'pramuka', 'rajabasa', 'kota', 'bandar', 'lampung', 'lampung']",1.0,0.0
4,"['bupati', 'kobar', 'apresiasi', 'usaha', 'laksana', 'vaksinasi', 'gotong', 'royong', 'karyawan']",1.0,1.0
5,"['columbia', 'asia', 'indonesia', 'dukung', 'program', 'vaksinasi']",1.0,1.0
6,"['kam', 'laksana', 'vaksinasi', 'warga', 'usia', 'makamhaji', 'tempat', 'balai', 'makamhaji', 'brigadir', 'ruri', 'setiawan', 'kartasura', 'koramil', 'kartasura', 'laksana', 'aman', 'giat', 'vaksinasi', 'warga', 'usia']",1.0,0.0
7,"['kalbar', 'serius', 'vaksinasi', 'lansia']",1.0,0.0
8,"['salah', 'banget', 'vaksinasi', 'uji', 'menangisss']",0.0,0.0
9,"['silah', 'simak', 'jadwal', 'vaksinasi', 'tinggal', 'kebal', 'tubuh', 'faktor', 'utama', 'hadir', 'vaksin', 'usir', 'corona', 'silah', 'postingan', 'sebar', 'kabar']",1.0,1.0
10,"['vaksinasi', 'masyarakat', 'domisili', 'warga', 'asli', 'dki', 'jakarta', 'laksana', 'vaksinasi', 'dki', 'bareng', 'syarat']",1.0,1.0
11,"['reposted', 'mayor', 'kabar', 'gembira', 'sobat', 'sehat', 'mayor', 'vaksin', 'usia', 'provinsi', 'dki', 'jakarta', 'resmi', 'buka', 'selenggara', 'vaksinasi', 'covid', 'masyarakat', 'usia']",1.0,1.0
12,"['cepat', 'vaksinasi', 'tempat', 'interaksi', 'stasiun', 'bus', 'airport', 'labuh']",1.0,1.0
13,"['vaksinasi', 'massal', 'bogor', 'sukses', 'total', 'daftar', 'online', 'capai']",1.0,1.0
14,"['beneran', 'kuliah', 'tatap', 'muka', 'syarat', 'ngambil', 'mk', 'ampu', 'vaksinasi']",1.0,1.0
15,"['tinjau', 'vaksinasi', 'karyawan', 'tekstil', 'tracing', 'testing', 'kuat']",1.0,1.0
16,"['sukun', 'sukses', 'vaksinasi', 'covid', 'lansia', 'masyarakat', 'lengkap', 'klik', 'taut']",1.0,1.0
17,"['program', 'vaksinasi', 'gotong', 'royong', 'inisiasi', 'laku', 'usaha', 'kadin', 'tuju', 'cepat', 'beri', 'vaksin', 'kerja', 'ada', 'vaksin', 'program', 'sepenuh', 'biaya', 'usaha', 'beban', 'karyawan']",1.0,1.0
18,"['upaya', 'wujud', 'herd', 'immunity', 'salah', 'wujud', 'program', 'vaksinasi', 'cepat', 'laksana', 'program', 'vaksinasi', 'cepat', 'kebal', 'komunal', 'bentuk']",1.0,1.0
19,"['tingkat', 'positif', 'corona', 'tangan', 'strategi', 'hadap', 'pandemi', 'covid', 'salah', 'strategi', 'laksana', 'vaksinasi', 'juta', 'dosis', 'moga', 'program', 'sukses', 'pandemi']",1.0,0.0
20,"['vaksinasi', 'massal', 'huni', 'apartemen', 'gading', 'mediterania']",1.0,0.0
21,"['tinjau', 'vaksinasi', 'karyawan', 'tekstil', 'tracing', 'testing', 'kuat', 'jenderal', 'sigit', 'tinjau', 'laksana', 'vaksinasi']",1.0,1.0
22,"['covid', 'tinjau', 'vaksinasi', 'pabrik', 'sukuntex', 'pura']",0.0,1.0
23,"['tambah', 'tinggi', 'positivity', 'rate', 'spesimen', 'positivity', 'rate', 'tingkat', 'turun', 'vaksinasi', 'tracing', 'swab', 'test', 'tingkat', 'dekat', 'standar', 'who']",0.0,1.0
24,"['tinjau', 'laksana', 'vaksinasi', 'damping', 'tri', 'sehat', 'direktur', 'utama', 'kai']",1.0,1.0
25,"['serta', 'sebab', 'tenda', 'vaksinasi', 'roboh']",0.0,1.0
26,"['pemprov', 'kalbar', 'gencar', 'vaksinasi', 'covid', 'midji', 'ajak', 'masyarakat', 'daftar']",1.0,1.0
27,"['harap', 'keras', 'cepat', 'program', 'vaksinasi', 'cepat', 'cepat', 'target', 'vaksinasi', 'bogor', 'agustus', 'capai', 'kebal', 'komunal']",1.0,1.0
28,"['harap', 'keras', 'cepat', 'program', 'vaksinasi', 'vaksinasi', 'target', 'bogor', 'capai', 'kebal', 'komunal', 'agustus']",1.0,1.0
29,"['lanjut', 'butuh', 'cepat', 'vaksinasi', 'rangka', 'capai', 'kebal', 'komunal', 'herd', 'immunity', 'harap', 'sebar', 'covid', 'hambat']",1.0,1.0
30,"['serta', 'vaksinasi', 'permata', 'jonggol', 'serta', 'emc', 'sentul', 'serta', 'bina', 'husada', 'serta', 'cimandala', 'serta', 'citeureup', 'serta', 'karadenan']",1.0,1.0
31,"['sempat', 'bincang', 'konferensi', 'video', 'wakil', 'pkm', 'ada', 'vaksinasi', 'permata', 'jonggol', 'emc', 'sentul', 'bina', 'husada', 'pkm', 'cimandala', 'pkm', 'citeureup', 'pkm', 'karadenan']",1.0,1.0
32,"['sasar', 'vaksinasi', 'kalang', 'masyarakat', 'kaum', 'usia', 'lansia', 'didik', 'dagang', 'pasar', 'tokoh', 'agama', 'pegawai', 'layan', 'publik', 'difabel', 'laku', 'transportasi', 'masyarakat', 'rentan']",1.0,1.0
33,"['tinjau', 'vaksinasi', 'masyarakat', 'stadion', 'cibinong', 'bogor', 'jawa', 'barat', 'sasar', 'vaksinasi', 'bogor', 'sebar']",1.0,1.0
34,"['khawatir', 'vaksinasi', 'az', 'sakit', 'asma', 'asma', 'ringan', 'jam', 'vaksin', 'az', 'ga', 'gejala', 'aman', 'gel', 'lengan', 'kiri', 'suntik', 'moga', 'aman']",1.0,0.0
35,"['lauching', 'gerai', 'laksana', 'vaksinasi', 'covid']",1.0,1.0
36,"['upaya', 'cipta', 'herd', 'imunity', 'sumbar', 'vaksinasi', 'gratis', 'masyarakat']",1.0,1.0
37,"['cepat', 'vaksinasi', 'interaksi']",1.0,1.0
38,"['besok', 'jadwal', 'vaksinasi', 'masyarakat', 'stasiun', 'bogor', 'makasih']",1.0,1.0
39,"['vaksinasi', 'upaya', 'bendung', 'tular', 'virus', 'pandemi']",1.0,0.0
40,"['tinjau', 'vaksinasi', 'stasiun', 'bogor']",1.0,1.0
41,"['pemprov', 'dki', 'jakarta', 'resmi', 'gelar', 'vaksinasi', 'covid', 'masyarakat', 'syarat', 'usia', 'laksana', 'vaksinasi', 'prioritas', 'tenaga', 'sehat', 'kelompok', 'usia', 'layan', 'publik', 'syarat', 'daftar']",1.0,1.0
42,"['yasin', 'damping', 'tinjau', 'vaksinasi', 'massal', 'stadion']",1.0,1.0
43,"['strategi', 'tangan', 'covid', 'cepat', 'vaksinasi', 'ketat', 'ppkm', 'mikro', 'lengkap', 'klik', 'taut']",1.0,1.0
44,"['pilih', 'cepat', 'vaksinasi', 'pilih']",1.0,0.0
45,"['janji', 'vaksinasi', 'cepat', 'gagal', 'sebab', 'situasi', 'cekam', 'teror', 'covid', 'vaksin', 'dapat', 'jujur']",0.0,1.0
46,"['tinjau', 'vaksinasi', 'harap', 'program', 'vaksinasi', 'juta', 'capai']",1.0,1.0
47,"['hati', 'vaksinasi', 'ngasuu', 'tunggang', 'kpentingan', 'rrc', 'genosida', 'selubung']",0.0,0.0
48,"['dengar', 'cerita', 'form', 'utama', 'vaksinasi', 'sekolah']",1.0,1.0
49,"['vaksinasi', 'covid', 'massal', 'laksana', 'lapang', 'ahmad', 'kirang', 'mamuju', 'sambut', 'antusiasme', 'warga']",1.0,1.0
50,"['ragu', 'laku', 'vaksinasi', 'covid', 'tubuh', 'lindung', 'daftar', 'pilih', 'jadwal', 'vaksinasi', 'jaki']",1.0,0.0
51,"['warga', 'raya', 'laku', 'vaksinasi']",1.0,1.0
52,"['dokumentasi', 'laksana', 'vaksinasi', 'covid', 'massal', 'pegawai', 'retail', 'modern', 'hotel', 'grand', 'asrilia', 'giat', 'selenggara', 'aprindo']",1.0,1.0
53,"['bentuk', 'dukung', 'program', 'cepat', 'beri', 'vaksin', 'lampung', 'gelar', 'vaksinasi', 'covid']",1.0,1.0
54,"['denger', 'dave', 'duta', 'vaksinasi', 'salah', 'denger']",0.0,0.0
55,"['vaksin', 'cek', 'rapid', 'antibodi', 'hasil', 'reaktif', 'vaksinasi', 'muncul', 'antibodi', 'lawan', 'virus', 'positif', 'swab', 'pcr', 'rapid', 'antigen', 'rapid', 'antibodi']",1.0,1.0
56,"['daftar', 'vaksinasi', 'covid']",1.0,1.0
57,"['tinggal', 'tahap', 'vaksinasi', 'usia', 'atas', 'kota', 'belah', 'buka', 'usia', 'atas']",0.0,0.0
58,"['analisis', 'evaluasi', 'cenderung', 'masyakarat', 'jenuh', 'terap', 'bp', 'tito', 'prokes', 'senjata', 'utama', 'putus', 'rantai', 'sebar', 'covid', 'samping', 'upaya', 'vaksinasi', 'cipta', 'kebal', 'kelompok', 'herd', 'immunity']",1.0,0.0
59,"['warga', 'seman', 'vaksinasi', 'covid', 'pabrik', 'rider']",1.0,0.0
60,"['tinjau', 'vaksinasi', 'harap', 'program', 'vaksinasi', 'juta', 'capai']",1.0,1.0
61,"['warga', 'ktp', 'domisili', 'jakarta', 'usia', 'download', 'aplikasi', 'jaki', 'kunjung', 'website', 'ga', 'pusing', 'ga', 'bagi', 'nomer', 'antri']",1.0,0.0
62,"['yak', 'jam', 'vaksinasi', 'gua', 'kelar', 'gejala', 'pasca', 'vaksinasi', 'kayak', 'lanjut', 'jam', 'pala', 'pening', 'perut', 'asa', 'mual', 'badan', 'keringet', 'dingin']",0.0,0.0
63,"['parah', 'covid', 'dki', 'roket', 'lampau']",0.0,0.0
64,"['vaksinasi', 'program', 'juta', 'vaksin', 'covid']",1.0,1.0
65,"['tinjau', 'vaksinasi', 'pabrik', 'sukuntex', 'pura', 'terban']",1.0,0.0
66,"['allah', 'ken', 'vaksinasi']",1.0,1.0
67,"['vaksinasi', 'cegah', 'gejala', 'berat', 'cegah', 'papar', 'lonjak', 'hrusnya', 'bijak', 'fokus', 'antisipasi', 'batas', 'faskes', 'nakes']",1.0,1.0
68,"['bayang', 'ketidakpastian', 'global', 'ekonomi', 'indonesia', 'potensi', 'pulih', 'resesi', 'salah', 'syarat', 'kendali', 'pandemi', 'covid', 'vaksinasi']",1.0,0.0
69,"['bupati', 'hartopo', 'ganjar', 'pranowo', 'damping', 'jenderal', 'sigit', 'menkes', 'ri', 'budi', 'sadikin', 'ketua', 'covid', 'ri', 'kepala', 'bnpb', 'letjen', 'ganip', 'warsito', 'tinjau', 'vaksinasi', 'laksana', 'sukun', 'tex']",1.0,1.0
70,"['jatah', 'vaksin', 'dinkes', 'pekanbaru', 'batas', 'vaksinasi', 'warga']",1.0,1.0
71,"['agnez', 'sedia', 'klinik', 'vaksinasi', 'covid', 'gratis', 'masyarakat', 'muzdalifah', 'raya', 'tambah', 'usia', 'dekat']",1.0,1.0
72,"['tel', 'uang', 'ratus', 'miliar', 'bingung', 'wacana', 'vaksinasi', 'udh', 'progres', 'hakikat', 'cocok', 'barbarianisme']",0.0,1.0
73,"['harap', 'peran', 'aktif', 'masyarakat', 'sosialisasi', 'vaksinasi']",1.0,1.0
74,"['somogede', 'koramil', 'pituruh', 'damping', 'vaksinasi', 'lansia']",1.0,1.0
75,"['menteri', 'angkut', 'wee', 'siong', 'bantu', 'cepat', 'vaksinasi', 'kalang', 'kerja', 'sektor']",1.0,1.0
76,"['vaksinasi', 'upaya', 'putus', 'sebar', 'covid', 'cipta', 'kebal', 'tubuh', 'lindung']",1.0,1.0
